,Year,Province,Criterion,ER_Utility,Belief_Entropy
415,2018,P52,C08,0.2561,1.0349
416,2018,P53,C01,0.5002,0.7830
417,2018,P53,C02,0.4617,0.9260
418,2018,P53,C03,0.5568,1.0668
419,2018,P53,C04,0.8362,0.3851
420,2018,P53,C05,0.6918,0.8961
421,2018,P53,C06,0.5894,1.0341
422,2018,P53,C07,0.5646,1.1368
423,2018,P53,C08,0.3473,0.7702
424,2018,P54,C01,0.2473,1.0142
425,2018,P54,C02,0.3099,0.8810
426,2018,P54,C03,0.3251,0.8323
427,2018,P54,C04,0.5975,1.0164
428,2018,P54,C05,0.7948,0.8063
429,2018,P54,C06,0.5477,0.9804
430,2018,P54,C07,0.4289,1.1790
431,2018,P54,C08,0.3841,0.9392
432,2018,P55,C01,0.2523,1.0270
433,2018,P55,C02,0.4129,1.0392
434,2018,P55,C03,0.3283,0.6433
435,2018,P55,C04,0.6429,0.7373
436,2018,P55,C05,0.6138,0.9507
437,2018,P55,C06,0.6701,0.6851
438,2018,P55,C07,0.6444,1.0306
439,2018,P55,C08,0.3719,0.8612
440,2018,P56,C01,0.5402,0.9374
441,2018,P56,C02,0.5000,0.3851
442,2018,P56,C03,0.4017,1.0491
443,2018,P56,C04,0.5000,0.3851
444,2018,P56,C05,0.6498,0.8407
445,2018,P56,C06,0.6386,0.7764
446,2018,P56,C07,0.8362,0.3851
447,2018,P56,C08,0.4319,1.0406
448,2018,P57,C01,0.2571,1.0328
449,2018,P57,C02,0.3600,0.8002
450,2018,P57,C03,0.3146,0.8801
451,2018,P57,C04,0.6216,0.9066
452,2018,P57,C05,0.3999,1.0086
453,2018,P57,C06,0.6958,1.0491
454,2018,P57,C07,0.6222,1.1955
455,2018,P57,C08,0.3408,0.5580
456,2018,P58,C01,0.2864,1.0228
457,2018,P58,C02,0.3756,0.8882
458,2018,P58,C03,0.3019,0.9493
459,2018,P58,C04,0.4500,0.9902
460,2018,P58,C05,0.6268,0.8726
461,2018,P58,C06,0.5082,0.6001
462,2018,P58,C07,0.4184,1.1709
463,2018,P58,C08,0.3417,0.6515
464,2018,P59,C01,0.4269,1.0452
465,2018,P59,C02,0.5451,0.9662
466,2018,P59,C03,0.3347,0.6150
467,2018,P59,C04,0.6030,0.9980
468,2018,P59,C05,0.6730,0.7350
469,2018,P59,C06,0.7236,1.0427
470,2018,P59,C07,0.6575,1.0401
471,2018,P59,C08,0.3759,0.8892
472,2018,P60,C01,0.2211,0.9067
473,2018,P60,C02,0.1638,0.3851
474,2018,P60,C03,0.4140,1.0405
475,2018,P60,C04,0.3674,0.9686
476,2018,P60,C05,0.5256,0.8267
477,2018,P60,C06,0.5144,0.7311
478,2018,P60,C07,0.6296,1.0593
479,2018,P60,C08,0.1981,0.7559
480,2018,P61,C01,0.3660,0.8145
481,2018,P61,C02,0.3990,1.0056
482,2018,P61,C03,0.3714,0.8916
483,2018,P61,C04,0.5792,1.0460
484,2018,P61,C05,0.4985,0.5061
485,2018,P61,C06,0.4857,0.8132
486,2018,P61,C07,0.4818,1.3005
487,2018,P61,C08,0.3440,0.5943
488,2018,P62,C01,0.3228,0.7191
489,2018,P62,C02,0.2480,1.0171
490,2018,P62,C03,0.4059,1.0253
491,2018,P62,C04,0.3979,0.9993
492,2018,P62,C05,0.4992,0.5528
493,2018,P62,C06,0.6089,1.0349
494,2018,P62,C07,0.3843,1.0798
495,2018,P62,C08,0.4705,0.8563
496,2018,P63,C01,0.5387,0.9282
497,2018,P63,C02,0.5167,0.7382
498,2018,P63,C03,0.5423,0.9507
499,2018,P63,C04,0.5354,0.9046
500,2018,P63,C05,0.6406,0.9053
501,2018,P63,C06,0.3651,0.9025
502,2018,P63,C07,0.4692,1.3259
503,2018,P63,C08,0.5349,0.9013
504,2019,P01,C01,0.5123,0.6538
505,2019,P01,C02,0.3659,0.8888
506,2019,P01,C03,0.3248,0.7316
507,2019,P01,C04,0.2994,0.9665
508,2019,P01,C05,0.4271,1.0446
509,2019,P01,C06,0.4381,1.0294
510,2019,P01,C07,0.2074,0.8233
511,2019,P01,C08,0.5654,1.0365
512,2019,P02,C01,0.6060,0.9867
513,2019,P02,C02,0.6862,0.9975
514,2019,P02,C03,0.4173,1.0439
515,2019,P02,C04,0.2319,0.9544
516,2019,P02,C05,0.5102,0.9061
517,2019,P02,C06,0.4080,1.0300
518,2019,P02,C07,0.4333,1.0383
519,2019,P02,C08,0.4309,1.1437
520,2019,P03,C01,0.4480,0.9983
521,2019,P03,C02,0.6085,0.9756
522,2019,P03,C03,0.6144,0.9483
523,2019,P03,C04,0.3833,0.9335
524,2019,P03,C05,0.4877,0.8408
525,2019,P03,C06,0.2355,0.9730
526,2019,P03,C07,0.6599,1.0257
527,2019,P03,C08,0.7578,0.9980
528,2019,P04,C01,0.6026,0.9992
529,2019,P04,C02,0.5785,1.0464
530,2019,P04,C03,0.5123,0.7750
531,2019,P04,C04,0.4508,0.9867
532,2019,P04,C05,0.5936,1.0255
533,2019,P04,C06,0.5386,0.9273
534,2019,P04,C07,0.4708,1.0840
535,2019,P04,C08,0.5025,0.7809
536,2019,P05,C01,0.6180,0.9280
537,2019,P05,C02,0.6138,0.9504
538,2019,P05,C03,0.5548,1.0086
539,2019,P05,C04,0.3722,0.8777
540,2019,P05,C05,0.5509,0.9937
541,2019,P05,C06,0.5056,0.6302
542,2019,P05,C07,0.3207,0.8440
543,2019,P05,C08,0.3462,0.9489
544,2019,P06,C01,0.6319,0.8337
545,2019,P06,C02,0.5712,1.0438
546,2019,P06,C03,0.5105,0.7102
547,2019,P06,C04,0.4656,0.8982
548,2019,P06,C05,0.6828,0.7892
549,2019,P06,C06,0.5344,0.8967
550,2019,P06,C07,0.3922,0.9745
551,2019,P06,C08,0.8224,0.5703
552,2019,P07,C01,0.5024,0.4788
553,2019,P07,C02,0.6956,0.9424
554,2019,P07,C03,0.4570,0.9547
555,2019,P07,C04,0.3828,1.0037
556,2019,P07,C05,0.2490,1.0165
557,2019,P07,C06,0.3673,0.8267
558,2019,P07,C07,0.5151,1.1819
559,2019,P07,C08,0.5341,0.8955
560,2019,P08,C01,0.3793,0.9123
561,2019,P08,C02,0.4288,1.0435
562,2019,P08,C03,0.3095,0.9153
563,2019,P08,C04,0.2936,1.0000
564,2019,P08,C05,0.5562,1.0137
565,2019,P08,C06,0.3722,0.8632
566,2019,P08,C07,0.4042,1.0182
567,2019,P08,C08,0.5903,1.0336
568,2019,P09,C01,0.5530,1.0023
569,2019,P09,C02,0.7047,0.9937
570,2019,P09,C03,0.6946,0.9231
571,2019,P09,C04,0.4959,0.7998
572,2019,P09,C05,0.5755,1.0460
573,2019,P09,C06,0.5051,0.9939
574,2019,P09,C07,0.4553,1.1275
575,2019,P09,C08,0.6772,0.8580
576,2019,P10,C01,0.4321,1.0404
577,2019,P10,C02,0.7250,1.0439
578,2019,P10,C03,0.5077,0.8414
579,2019,P10,C04,0.2598,1.0371
580,2019,P10,C05,0.6432,0.7638
581,2019,P10,C06,0.5246,0.9292
582,2019,P10,C07,0.3514,0.7012
583,2019,P10,C08,0.3932,1.1829
584,2019,P11,C01,0.7172,1.0327
585,2019,P11,C02,0.7647,0.9704
586,2019,P11,C03,0.7509,1.0193
587,2019,P11,C04,0.3275,0.8873
588,2019,P11,C05,0.4381,1.0294
589,2019,P11,C06,0.4635,0.9124
590,2019,P11,C07,0.2761,1.0428
591,2019,P11,C08,0.7846,0.8715
592,2019,P12,C01,0.5299,0.8596
593,2019,P12,C02,0.7555,1.0018
594,2019,P12,C03,0.5750,1.0458
595,2019,P12,C04,0.3455,0.8898
596,2019,P12,C05,0.6008,1.0040
597,2019,P12,C06,0.3092,0.9071
598,2019,P12,C07,0.1860,0.6532
599,2019,P12,C08,0.6610,0.7005
600,2019,P13,C01,0.5146,0.7083
601,2019,P13,C02,0.6118,0.9594
602,2019,P13,C03,0.3143,0.8298
603,2019,P13,C04,0.5029,0.8293
604,2019,P13,C05,0.6005,1.0067
605,2019,P13,C06,0.4428,1.0169
606,2019,P13,C07,0.4717,1.0671
607,2019,P13,C08,0.6935,0.9165
608,2019,P14,C01,0.7016,0.9711
609,2019,P14,C02,0.8305,0.4750
610,2019,P14,C03,0.4795,0.7639
611,2019,P14,C04,0.7052,0.9917
612,2019,P14,C05,0.3840,1.2048
613,2019,P14,C06,0.7363,1.0445
614,2019,P14,C07,0.7399,1.0378
615,2019,P14,C08,0.2924,1.0029
616,2019,P15,C01,0.7082,1.0040
617,2019,P15,C02,0.7189,1.0366
618,2019,P15,C03,0.5539,1.0058
619,2019,P15,C04,0.5301,0.9753
620,2019,P15,C05,0.7298,1.0463
621,2019,P15,C06,0.6009,1.0053
622,2019,P15,C07,0.4689,1.0082
623,2019,P15,C08,0.6191,0.9221
624,2019,P16,C01,0.4879,0.6505
625,2019,P16,C02,0.5490,0.9857
626,2019,P16,C03,0.6218,0.9046
627,2019,P16,C04,0.4648,0.9043
628,2019,P16,C05,0.8362,0.3851
629,2019,P16,C06,0.3993,1.0051
630,2019,P16,C07,0.3221,0.8753
631,2019,P16,C08,0.3241,0.7658
632,2019,P17,C01,0.6771,0.7115
633,2019,P17,C02,0.4926,0.8596
634,2019,P17,C03,0.5112,0.7962
635,2019,P17,C04,0.5090,0.7810
636,2019,P17,C05,0.6041,0.9940
637,2019,P17,C06,0.3519,0.7090
638,2019,P17,C07,0.3532,0.8789
639,2019,P17,C08,0.7491,1.0233
640,2019,P18,C01,0.5660,1.0375
641,2019,P18,C02,0.5147,0.7091
642,2019,P18,C03,0.5662,1.0378
643,2019,P18,C04,0.2763,1.0427
