Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P20,1.035140395,1.345232606,1.525574803,0.599693954,1.935281157,1.533769011,1.70547843,,1.64182055,1.719094634,1.536983609,1.344274402,1.660991907,0.873485088,1.644408345,1.547520518,1.959335089,1.654273272,1.828128099,1.437837005,1.5769732,2.387806177,1.652463078,,,,,,
P21,0.965433061,1.340889335,1.548490763,1.306686282,2.117452383,1.356534839,1.607209563,,1.556143403,2.040683985,1.993499756,1.344835281,1.533974767,0.657419086,1.594624639,1.575273395,1.63786912,1.530601501,1.846004367,1.836794138,1.816053867,2.224611521,1.615419149,,,,,,
P22,1.170338154,1.551597953,1.638908148,1.438603044,2.214269876,1.900190711,1.825775623,,1.795187831,2.08006382,2.097156048,1.594216943,1.751331329,0.795174599,1.822792649,1.746627092,1.700317144,1.478757858,1.874421835,1.960994005,1.62812674,1.660685897,1.689390421,,,,,,
P23,1.033764362,1.423690557,1.621365786,0.85075438,2.3295784,1.673199654,1.766998649,,1.584293962,1.872584581,1.965567946,1.588805914,1.704419494,0.892297745,1.656790018,1.627161384,1.764128804,1.66176641,1.871523857,1.78272593,1.659503222,1.799980164,1.666108489,,,,,,
P24,1.228686452,1.461966515,1.614161253,1.058256149,2.388889551,1.855269194,1.877444506,,1.981187701,2.394452572,2.195155382,1.541327953,1.663786173,0.809739411,1.870980978,1.728039861,1.952505946,1.641307473,1.857897639,1.768039703,1.633922815,1.916172147,1.685667872,,,,,,
P25,0.902579784,1.254907846,1.679027796,1.120818138,2.281063795,1.604254842,1.59631443,,1.738025188,1.80480814,2.125524521,1.561484694,1.745589972,1.105172276,1.857076526,1.621290684,1.918237329,1.784323215,1.874658108,1.867769003,1.645190001,2.25164628,1.688210011,,,,,,
P26,1.117293954,1.553479314,1.715773225,0.77226454,2.331915617,1.78253293,1.827411413,,1.560060501,2.011362791,2.172742367,1.631564617,1.946617723,1.053796172,1.783842802,1.703629136,1.836997271,1.683747649,1.9602108,1.922194958,1.619341731,1.870760679,1.674525499,,,,,,
P27,1.00990653,1.496128082,1.669625759,1.113638163,2.319674015,1.849013686,1.73065269,,1.814127326,2.163225651,2.075765371,1.440413952,1.617233753,0.784196198,1.673138261,1.648568869,1.890576601,1.510642529,1.864749074,1.774452567,1.593827248,1.652920365,1.666141272,,,,,,
P28,1.478602648,1.842355132,1.77183795,1.351245642,2.888942242,2.256596088,2.094002962,,2.106240273,2.656577587,2.742871046,1.803678632,2.035237551,1.015319586,1.812303901,1.758178234,1.882454634,1.700049639,1.961697698,2.039369583,1.726120591,1.691491842,1.714628935,,,,,,
P29,1.141389489,1.361832976,1.6681844,0.697451413,2.077385902,1.617612243,1.580047846,,1.782005668,2.291057348,2.06700778,1.668171883,1.745036125,0.757561266,1.768827438,1.687704921,1.89050889,1.674377203,1.953065634,2.038525105,1.614806175,1.912895918,1.556717396,,,,,,
