,Year,Province,Criterion,ER_Utility,Belief_Entropy
202,2018,P26,C03,0.6814,0.8063
203,2018,P26,C04,0.4006,1.0034
204,2018,P26,C05,0.5801,1.0426
205,2018,P26,C06,0.5520,1.0001
206,2018,P26,C07,0.4240,1.0423
207,2018,P26,C08,0.4656,0.9686
208,2018,P27,C01,0.7685,0.9368
209,2018,P27,C02,0.6819,0.8147
210,2018,P27,C03,0.7584,0.9803
211,2018,P27,C04,0.4566,0.9596
212,2018,P27,C05,0.5987,1.0064
213,2018,P27,C06,0.5309,0.8972
214,2018,P27,C07,0.3865,0.9751
215,2018,P27,C08,0.6651,0.7816
216,2018,P28,C01,0.7373,1.0374
217,2018,P28,C02,0.6926,0.9264
218,2018,P28,C03,0.7526,1.0005
219,2018,P28,C04,0.4408,1.0997
220,2018,P28,C05,0.5993,1.0045
221,2018,P28,C06,0.4188,1.0416
222,2018,P28,C07,0.3765,0.9307
223,2018,P28,C08,0.5505,0.9940
224,2018,P29,C01,0.6235,0.8834
225,2018,P29,C02,0.6711,0.7525
226,2018,P29,C03,0.8089,0.6686
227,2018,P29,C04,0.5282,0.9246
228,2018,P29,C05,0.6625,0.5759
229,2018,P29,C06,0.5025,0.7293
230,2018,P29,C07,0.4672,1.0755
231,2018,P29,C08,0.5111,0.7343
232,2018,P30,C01,0.6295,0.8405
233,2018,P30,C02,0.6260,0.8652
234,2018,P30,C03,0.7660,0.9492
235,2018,P30,C04,0.6892,0.9529
236,2018,P30,C05,0.3731,0.9629
237,2018,P30,C06,0.4749,1.0652
238,2018,P30,C07,0.4344,1.1117
239,2018,P30,C08,0.3791,0.9251
240,2018,P31,C01,0.3354,0.6547
241,2018,P31,C02,0.5109,0.7984
242,2018,P31,C03,0.2544,1.0189
243,2018,P31,C04,0.5022,0.8202
244,2018,P31,C05,0.4782,0.8444
245,2018,P31,C06,0.5404,0.9424
246,2018,P31,C07,0.4675,1.1133
247,2018,P31,C08,0.3390,0.5921
248,2018,P32,C01,0.4383,1.0548
249,2018,P32,C02,0.7003,0.9780
250,2018,P32,C03,0.3048,0.9938
251,2018,P32,C04,0.4840,0.7292
252,2018,P32,C05,0.5076,0.6241
253,2018,P32,C06,0.8031,0.7120
254,2018,P32,C07,0.3068,0.9344
255,2018,P32,C08,0.8326,0.3913
256,2018,P33,C01,0.4989,0.6931
257,2018,P33,C02,0.4153,1.0383
258,2018,P33,C03,0.5038,0.6556
259,2018,P33,C04,0.4922,0.7339
260,2018,P33,C05,0.3138,0.8674
261,2018,P33,C06,0.4903,0.7015
262,2018,P33,C07,0.4454,1.0630
263,2018,P33,C08,0.2986,0.9841
264,2018,P34,C01,0.5247,0.8149
265,2018,P34,C02,0.2939,1.0050
266,2018,P34,C03,0.5330,0.8899
267,2018,P34,C04,0.2757,1.0428
268,2018,P34,C05,0.3243,0.9200
269,2018,P34,C06,0.3572,0.9004
270,2018,P34,C07,0.3574,0.9430
271,2018,P34,C08,0.1674,0.3913
272,2018,P35,C01,0.3483,0.7291
273,2018,P35,C02,0.2973,0.9900
274,2018,P35,C03,0.3290,0.7903
275,2018,P35,C04,0.3632,0.8911
276,2018,P35,C05,0.1970,0.7185
277,2018,P35,C06,0.4127,1.0706
278,2018,P35,C07,0.3047,0.9487
279,2018,P35,C08,0.3760,0.8798
280,2018,P36,C01,0.3222,0.7496
281,2018,P36,C02,0.3318,0.7205
282,2018,P36,C03,0.5001,1.0512
283,2018,P36,C04,0.4700,0.8661
284,2018,P36,C05,0.3761,0.8772
285,2018,P36,C06,0.4318,1.0395
286,2018,P36,C07,0.4943,1.1199
287,2018,P36,C08,0.2275,0.9201
288,2018,P37,C01,0.1674,0.3913
289,2018,P37,C02,0.2487,1.0043
290,2018,P37,C03,0.4032,1.1402
291,2018,P37,C04,0.4652,0.9044
292,2018,P37,C05,0.4770,0.7974
293,2018,P37,C06,0.5637,1.1224
294,2018,P37,C07,0.3794,0.9753
295,2018,P37,C08,0.3317,0.6742
296,2018,P38,C01,0.5322,0.8836
297,2018,P38,C02,0.4982,0.8309
298,2018,P38,C03,0.5213,1.0475
299,2018,P38,C04,0.5897,1.0297
300,2018,P38,C05,0.6024,0.9931
301,2018,P38,C06,0.8297,0.4422
302,2018,P38,C07,0.4708,1.1948
303,2018,P38,C08,0.3179,0.8169
304,2018,P39,C01,0.4095,1.0275
305,2018,P39,C02,0.2696,1.0431
306,2018,P39,C03,0.3020,0.9645
307,2018,P39,C04,0.4613,0.9316
308,2018,P39,C05,0.4858,0.7119
309,2018,P39,C06,0.3422,0.8674
310,2018,P39,C07,0.3005,0.9754
311,2018,P39,C08,0.3423,0.5739
312,2018,P40,C01,0.7314,1.0421
313,2018,P40,C02,0.4754,0.8494
314,2018,P40,C03,0.5089,0.7064
315,2018,P40,C04,0.2972,0.9936
316,2018,P40,C05,0.3941,0.9792
317,2018,P40,C06,0.2019,0.7568
318,2018,P40,C07,0.2861,1.0297
319,2018,P40,C08,0.4651,0.9048
320,2018,P41,C01,0.4581,0.9608
321,2018,P41,C02,0.5093,0.7022
322,2018,P41,C03,0.4803,1.1073
323,2018,P41,C04,0.3626,1.0141
324,2018,P41,C05,0.3728,0.8553
325,2018,P41,C06,0.2717,1.0731
326,2018,P41,C07,0.3232,0.8724
327,2018,P41,C08,0.4857,0.9062
328,2018,P42,C01,0.3841,0.9297
329,2018,P42,C02,0.4357,1.0341
330,2018,P42,C03,0.5045,0.6475
331,2018,P42,C04,0.2180,0.8628
