Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,SAW_Rank,Mean_Rank,Consensus_Rank
P16,0.7623,0.7660,0.7203,0.7507,0.7116,0.7397,0.7418,0.0222,0.0299,15,17,19,16,17,20,17.3300,17
P18,0.9605,0.9490,0.9758,0.9927,0.9911,0.9900,0.9765,0.0183,0.0187,4,4,3,2,2,2,2.8300,2
P19,0.6075,0.6318,0.5391,0.6059,0.5829,0.5796,0.5911,0.0318,0.0538,29,30,31,30,26,34,30.0000,30
P20,0.4351,0.5271,0.3711,0.4580,0.3881,0.4761,0.4426,0.0577,0.1304,47,45,48,46,48,47,46.8300,46
P21,0.6643,0.6840,0.6491,0.6747,0.6105,0.7008,0.6639,0.0315,0.0474,23,25,23,24,24,23,23.6700,23
P22,0.6370,0.7157,0.6076,0.6382,0.5651,0.6530,0.6361,0.0500,0.0785,27,20,26,26,29,25,25.5000,26
P23,0.6545,0.7015,0.6126,0.6468,0.5834,0.6472,0.6410,0.0401,0.0626,24,22,25,25,25,26,24.5000,25
P24,0.8358,0.8566,0.8011,0.8554,0.8278,0.8350,0.8353,0.0204,0.0245,9,10,10,8,8,9,9.0000,9
P25,0.7860,0.8155,0.7547,0.7713,0.7210,0.7665,0.7692,0.0315,0.0410,12,12,14,14,15,16,13.8300,14
P26,0.7202,0.7502,0.6793,0.7036,0.6510,0.7019,0.7010,0.0340,0.0484,18,18,20,21,21,22,20.0000,20
P27,0.6373,0.6768,0.5843,0.6262,0.5704,0.6187,0.6189,0.0382,0.0617,26,26,28,28,28,30,27.6700,28
P28,0.7382,0.7842,0.7316,0.7344,0.6759,0.7545,0.7365,0.0355,0.0482,17,16,16,19,20,18,17.6700,18
P29,0.0000,0.1246,0.0000,0.0000,0.0000,0.0000,0.0208,0.0509,2.4495,61,60,61,61,61,61,60.8300,61
P30,0.6939,0.7286,0.6745,0.6902,0.6346,0.6974,0.6865,0.0310,0.0451,20,19,21,22,23,24,21.5000,22
P31,0.6451,0.6953,0.5942,0.6361,0.5797,0.6314,0.6303,0.0408,0.0648,25,23,27,27,27,28,26.1700,27
P32,0.7851,0.8330,0.7839,0.7761,0.7268,0.7930,0.7830,0.0341,0.0435,13,11,13,13,14,14,13.0000,13
P33,0.3428,0.2445,0.3217,0.2726,0.2796,0.2265,0.2813,0.0444,0.1579,52,57,50,56,53,57,54.1700,54
P34,0.4851,0.5899,0.4249,0.4981,0.4220,0.5108,0.4885,0.0622,0.1273,41,33,42,42,44,43,40.8300,41
P35,0.3977,0.4759,0.3192,0.3940,0.3461,0.3840,0.3861,0.0536,0.1387,49,48,51,50,50,51,49.8300,50
P36,0.3593,0.3144,0.3183,0.3058,0.3059,0.2658,0.3116,0.0300,0.0962,51,55,52,52,52,56,53.0000,52
P37,0.3142,0.3216,0.3135,0.3641,0.3289,0.4138,0.3427,0.0395,0.1153,53,54,53,51,51,50,52.0000,51
P38,0.9664,0.9573,0.9628,0.9455,0.9336,0.9516,0.9529,0.0121,0.0127,3,3,5,5,5,7,4.6700,5
P39,0.9574,0.9406,0.9585,0.9409,0.9279,0.9638,0.9482,0.0138,0.0146,5,6,6,7,7,6,6.1700,6
P40,0.5524,0.5715,0.5337,0.5812,0.5189,0.6137,0.5619,0.0343,0.0610,33,36,32,32,33,31,32.8300,32
P41,0.2594,0.4015,0.1864,0.2846,0.2411,0.2922,0.2775,0.0716,0.2578,55,50,56,55,56,54,54.3300,55
P42,0.7841,0.7883,0.7938,0.7876,0.7409,0.8159,0.7851,0.0245,0.0312,14,15,12,12,13,11,12.8300,12
P43,0.4383,0.5494,0.3689,0.4549,0.3854,0.4669,0.4440,0.0646,0.1455,46,41,49,47,49,49,46.8300,46
P44,0.2155,0.3437,0.1552,0.2629,0.2227,0.2830,0.2472,0.0647,0.2617,57,52,57,57,57,55,55.8300,57
P45,0.4734,0.5444,0.4176,0.4948,0.4227,0.5151,0.4780,0.0506,0.1059,42,43,44,43,43,42,42.8300,44
P46,0.9869,1.0000,0.9824,0.9517,0.9411,0.9666,0.9714,0.0224,0.0230,2,1,2,4,4,5,3.0000,3
P47,0.7052,0.7100,0.7217,0.7307,0.6811,0.7665,0.7192,0.0287,0.0399,19,21,18,20,18,17,18.8300,19
P48,0.4724,0.5740,0.4232,0.4921,0.4230,0.5101,0.4825,0.0572,0.1186,43,35,43,44,42,44,41.8300,43
P49,1.0000,0.9854,1.0000,1.0000,1.0000,1.0000,0.9976,0.0060,0.0060,1,2,1,1,1,1,1.1700,1
P50,0.2608,0.3785,0.1991,0.2994,0.2537,0.3154,0.2845,0.0613,0.2157,54,51,55,53,54,53,53.3300,53
P51,0.4694,0.5139,0.4561,0.5117,0.4664,0.5504,0.4947,0.0366,0.0740,44,46,39,39,39,38,40.8300,41
P53,0.5141,0.5547,0.4829,0.5415,0.4694,0.5711,0.5223,0.0405,0.0776,35,39,37,36,38,36,36.8300,36
P54,0.1574,0.2424,0.1499,0.1843,0.1590,0.2190,0.1853,0.0377,0.2037,58,58,58,58,58,58,58.0000,58
P55,0.5706,0.6083,0.5644,0.6029,0.5431,0.6374,0.5878,0.0345,0.0587,31,32,30,31,30,27,30.1700,31
P56,0.9567,0.9471,0.9737,0.9681,0.9611,0.9795,0.9644,0.0118,0.0123,6,5,4,3,3,3,4.0000,4
P57,0.5030,0.5342,0.4965,0.5287,0.4804,0.5474,0.5150,0.0256,0.0498,38,44,36,38,37,39,38.6700,38
P58,0.5110,0.5501,0.5024,0.5528,0.5046,0.5914,0.5354,0.0355,0.0663,36,40,35,35,34,33,35.5000,35
P59,0.4909,0.5589,0.4366,0.5102,0.4388,0.5301,0.4943,0.0493,0.0997,39,38,40,40,40,40,39.5000,39
P60,0.9207,0.8979,0.9497,0.9410,0.9280,0.9762,0.9356,0.0267,0.0286,7,8,7,6,6,4,6.3300,7
P61,0.6243,0.6610,0.6308,0.6874,0.6506,0.7320,0.6643,0.0401,0.0604,28,27,24,23,22,21,24.1700,24
P62,0.7483,0.7919,0.7304,0.7357,0.6776,0.7517,0.7393,0.0372,0.0503,16,14,17,18,19,19,17.1700,16
P63,0.8646,0.9011,0.8709,0.8481,0.8147,0.8658,0.8609,0.0284,0.0330,8,7,8,9,9,8,8.1700,8
