Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P50,0.959847033,1.70531261,1.258183718,0.772900283,2.243691683,1.945363522,1.744398594,,2.1884799,1.870090127,1.090729713,1.229952812,1.697018862,0.817565441,1.720113873,1.806139112,1.79889071,1.573403716,1.861660719,1.769100666,1.925950527,2.334043264,1.570575476,,,,,,
P51,1.06342423,1.949162602,1.310333729,1.101348042,2.441759109,1.880179405,1.855136156,,2.268734455,1.360546231,1.297331333,1.981512666,2.100155115,1.329708338,1.813742757,1.842192531,1.71769309,1.73501277,1.968566895,1.930466175,1.749001384,1.885318041,1.71797955,,,,,,
P52,0.800000787,1.486843109,1.504401684,1.035396576,2.075828314,1.398886442,1.738675237,,2.333699703,1.204456568,1.181549668,1.930723906,2.121385336,1.255267024,1.652802587,1.662284136,1.870034456,1.842345715,1.926101565,1.910521865,1.688774228,1.369406581,1.649394989,,,,,,
P53,0.786756277,1.809841871,1.644736528,1.362861753,2.258189917,2.005832195,1.728689194,,2.506538153,1.473318338,1.414463282,1.861022711,2.194396496,1.299671292,1.807176709,1.88739419,1.962842584,1.888113618,1.954141498,2.016162157,2.003286362,1.945584893,1.705708146,,,,,,
P54,0.870825827,1.690802693,1.489139438,1.222458839,1.867190838,1.554974794,1.789787889,,2.261569262,0.951120138,1.212696075,1.76276648,2.130301714,1.147355199,1.671116352,1.807590723,1.893793702,1.860142231,1.866328955,1.920111299,1.966588616,1.659268141,1.736366391,,,,,,
P55,0.765906513,1.642000198,1.527091742,0.979849041,1.923487067,1.700335383,1.79837811,,2.292046547,1.976858139,1.291073322,1.744647026,1.928116441,1.300658107,1.70316112,1.720390677,1.969619632,1.819258571,1.794097543,1.95372057,1.945842028,2.117372513,1.765075326,,,,,,
P56,1.065615416,1.592111111,1.402047992,1.127283335,2.104853392,1.890066624,1.806768179,,2.388213396,1.65890646,1.297833562,1.647214174,1.88622272,1.191023111,1.596108794,1.860378504,1.970374107,1.902203321,1.866532326,1.941990972,1.664599419,1.818457961,1.658100486,,,,,,
P57,0.984422028,1.609899044,1.477972388,1.172252178,2.438052177,1.69793129,1.749805212,,2.267451286,1.049564242,1.239283442,1.84337604,2.014271259,1.38207078,1.707936645,1.776893854,1.903308988,1.715864658,1.867399454,2.081556797,1.686307669,2.152461529,1.693883538,,,,,,
P58,0.998620987,1.838044763,1.49840641,0.855039299,2.146915436,1.57080996,1.54316783,,2.269385815,1.111645818,1.075833559,1.654096246,1.884580851,1.230769157,1.500054121,1.66954124,1.764404058,1.84240365,1.790665388,1.830381036,1.982672215,1.966325402,1.689281106,,,,,,
P59,1.021413207,1.768284082,1.599879384,1.165842414,2.477095604,1.866903424,1.774145603,,2.32455492,1.497424722,1.218134403,1.974106431,2.051508665,1.339749932,1.789800048,1.787932038,1.751047969,1.577854872,1.835995913,1.946326613,1.726208687,2.072052479,1.73509407,,,,,,
P60,0.826333404,1.532642603,1.366769195,0.822827876,2.207434177,1.465245008,1.78040278,,2.496548653,1.595688581,1.341728449,1.789032221,1.924051642,1.200008869,1.700147152,1.726814866,1.880437374,1.653892756,1.883652806,1.956505656,1.704499722,1.660849333,1.65913856,,,,,,
P61,0.755025327,1.641992807,1.326536059,1.079262257,1.754411697,1.442105293,1.791691065,,2.168994188,1.215643644,1.27207756,1.698222041,1.892889261,1.18712616,1.667845845,1.641900182,1.87632978,1.728775978,1.909454107,1.964990973,1.672190666,1.715501428,1.700916529,,,,,,
P62,0.917173982,1.65180409,1.577231407,1.645806551,2.322323322,2.003860474,2.007017612,,2.512320995,1.172282457,1.233570933,1.831372261,2.084816217,1.419950843,1.513555527,1.873219848,1.901998043,1.805015326,1.823785186,2.04315567,1.702608705,1.984927058,1.695684195,,,,,,
P63,0.81125927,1.430788636,1.546043754,0.859581292,2.114868164,1.527011156,1.68072331,,2.192382813,1.75787437,1.218880892,1.52608943,1.929649591,1.083279967,1.72213757,1.827071548,1.805572629,1.604686856,2.031714916,1.925902247,1.059132218,1.626102924,1.669339061,,,,,,
