Province,TOPSIS,VIKOR,PROMETHEE,COPRAS,EDAS,SAW,IFS_TOPSIS,IFS_VIKOR,IFS_PROMETHEE,IFS_COPRAS,IFS_EDAS,IFS_SAW
P30,0.3610640785563678,0.34463839133818763,0.3387516064407426,0.38355099193803255,0.3603604619589693,0.40066139421436653,0.2781463600538017,0.36153442531302826,0.32004018235454285,0.3912919397498334,0.3192538949196062,0.428624655937445
P31,0.46516226304462943,0.5070734355669686,0.4274269909189345,0.4816222283579228,0.44559860798450457,0.48081353780060376,0.2656412825758577,0.5467858541084498,0.4246454829552392,0.5189696216981126,0.4601579515394631,0.5175032384281407
P32,0.42848738304841494,0.4758346966682714,0.38814839671117163,0.44951708891856235,0.4158948181654522,0.45166939333654293,0.2510183146747921,0.5095146249586895,0.36523539401359667,0.47809635164723197,0.4186104883210864,0.48507305602986145
P33,0.5311531557615438,0.5630288383057289,0.5062266264347366,0.5444087242960096,0.5064543514763524,0.5427243432781246,0.31540818882201815,0.5985131531323045,0.5188507226391245,0.5814336461394404,0.5222231827008857,0.5812002932018393
P34,0.6459086276208672,0.6388194059121006,0.6990284259132341,0.6832980308447445,0.6584849308388808,0.6939005247328395,0.5167157658470544,0.66188532557909,0.7232964606143055,0.7034850774133815,0.6365510541524768,0.7271614910601423
P35,0.6460832371026988,0.6263483269763879,0.7032921163087664,0.6957100876471723,0.6721737112457005,0.7026966539527756,0.5862570714213606,0.6545120485450764,0.7065503716981766,0.7186378821385183,0.6837848064301976,0.734486030407823
P36,0.6710865101983262,0.6598848814458238,0.7091013610433452,0.7005849962544636,0.6742503499618615,0.703103096224981,0.5844238389622637,0.6855251747731195,0.7314997111310527,0.7381681888233468,0.7026721682986944,0.748127947033634
P37,0.30841848550769796,0.3353345515718038,0.2469984299639906,0.32691864229602047,0.30246629693144345,0.32066910314360747,0.1602707025310672,0.37600795893309036,0.23490976232738223,0.3713259106193116,0.3389259131934531,0.35765346278050264
P38,0.356321265792766,0.3738877973339907,0.29772105507276053,0.3531643752256069,0.32674894289409084,0.33793375183234714,0.18306770302422457,0.4029591542857074,0.2957055845518777,0.40881009746408825,0.37488101152889125,0.37583686499551444
P39,0.573988315630893,0.562528726424318,0.5476683687651576,0.5787754357107338,0.5565158428822354,0.5681485201781244,0.38875845359437056,0.5805664954678205,0.539637873955283,0.6157418376851648,0.5740388046756476,0.5947894124623248
P40,0.39695647299975445,0.4126418210796541,0.3402972935733984,0.40452331226374894,0.37565990790475273,0.40252148159304774,0.21455472969387201,0.4325008433088646,0.31260499788077933,0.43017038049112716,0.37461387280677466,0.4255771863219324
P41,0.3833459923290939,0.3803207967718858,0.34202018999882683,0.4094960267828753,0.37886718835998057,0.41064159354377144,0.23467776356660763,0.4079994758597989,0.33623094622989597,0.4393935197743606,0.3937803203352293,0.44471812405081973
P42,0.3684962083835938,0.4098923019250382,0.3252589810066124,0.3960508496437499,0.3664276623901638,0.40311793718340966,0.22121037753861045,0.43317997717223355,0.27774875809572636,0.40601029129411625,0.35002810170751497,0.42222439855795685
P43,0.4730804616421758,0.46031403882747224,0.45082026381859386,0.49170219763948037,0.46165244458798205,0.4978659170886843,0.313123231328212,0.4792315018518114,0.4458615369489265,0.5186231252189395,0.4510394061734271,0.5333189996816147
P44,0.6098910718452137,0.6531806627136341,0.6676487834029708,0.6654369596318674,0.6361491874223096,0.6823790067046308,0.625378623354852,0.6704837335164016,0.667942053076578,0.6542177154179538,0.5794579283078684,0.6878279866052461
P45,0.45510200015697067,0.47780742173717483,0.45385212841103756,0.49289175133077406,0.46439327627835697,0.5056148434743496,0.3769794970264046,0.5130996798056402,0.46607741802251956,0.5275104873867691,0.4640292071959421,0.555669142786086
