Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P28,0.4323,0.4515,0.6017,0.4619,0.5660,0.5027,0.0759,0.1510,15,17,16,16,16,16.0000,16
P29,0.3450,0.3712,0.4689,0.3664,0.4700,0.4043,0.0603,0.1492,30,28,30,30,29,29.4000,29
P30,0.5078,0.5291,0.6838,0.5232,0.6188,0.5725,0.0759,0.1326,10,10,8,8,7,8.6000,9
P31,0.1494,0.1327,0.2474,0.1971,0.2544,0.1962,0.0553,0.2817,54,56,51,52,52,53.0000,52
P32,0.4240,0.4634,0.6170,0.4701,0.5697,0.5088,0.0809,0.1589,17,15,14,15,15,15.2000,15
P33,0.3849,0.3578,0.3764,0.2957,0.3581,0.3546,0.0349,0.0985,20,31,39,40,44,34.8000,35
P34,0.3706,0.3644,0.4517,0.3526,0.4510,0.3981,0.0491,0.1232,25,29,32,33,33,30.4000,32
P35,0.5279,0.5390,0.6699,0.5205,0.6127,0.5740,0.0650,0.1132,7,8,9,9,9,8.4000,8
P36,0.3005,0.2839,0.3028,0.2472,0.3292,0.2927,0.0302,0.1031,35,40,48,48,46,43.4000,44
P37,0.2295,0.2571,0.3640,0.2908,0.3766,0.3036,0.0648,0.2134,46,45,41,41,41,42.8000,43
P38,0.5560,0.5714,0.7239,0.5607,0.6488,0.6122,0.0730,0.1192,6,6,6,7,6,6.2000,6
P39,0.6212,0.6551,0.8148,0.7019,0.7617,0.7109,0.0784,0.1103,5,4,4,4,4,4.2000,4
P40,0.3833,0.3732,0.4497,0.3508,0.4431,0.4000,0.0440,0.1100,22,27,33,34,34,30.0000,31
P41,0.0839,0.0856,0.0766,0.0798,0.1065,0.0865,0.0117,0.1355,59,58,59,59,59,58.8000,59
P42,0.2861,0.3136,0.4671,0.3634,0.4552,0.3771,0.0817,0.2166,39,36,31,31,31,33.6000,34
P43,0.2163,0.2362,0.2816,0.2404,0.3209,0.2591,0.0419,0.1618,48,47,49,49,47,48.0000,48
P44,0.5231,0.5299,0.6235,0.4922,0.5784,0.5494,0.0516,0.0940,8,9,11,12,11,10.2000,10
P45,0.3834,0.4150,0.5739,0.4367,0.5497,0.4717,0.0848,0.1798,21,22,20,21,20,20.8000,21
P46,0.5194,0.5677,0.7721,0.6438,0.7152,0.6436,0.1035,0.1607,9,7,5,5,5,6.2000,6
P47,0.9698,1.0000,1.0000,0.9920,0.9936,0.9911,0.0124,0.0125,2,1,1,2,2,1.6000,2
P48,0.2277,0.2558,0.3529,0.2835,0.3619,0.2964,0.0592,0.1997,47,46,42,43,43,44.2000,45
P49,1.0000,0.9880,0.9258,1.0000,1.0000,0.9828,0.0323,0.0328,1,2,2,1,1,1.4000,1
P50,0.4245,0.4651,0.6224,0.4746,0.5752,0.5123,0.0828,0.1616,16,14,12,14,13,13.8000,12
P51,0.3661,0.4025,0.5447,0.4159,0.5258,0.4510,0.0793,0.1758,26,23,23,24,23,23.8000,24
P53,0.1630,0.1740,0.1873,0.1752,0.2338,0.1866,0.0277,0.1487,52,53,56,55,55,54.2000,54
P54,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61,61,61,61,61,61.0000,61
P55,0.1577,0.1760,0.2089,0.1876,0.2504,0.1961,0.0356,0.1814,53,52,54,53,53,53.0000,52
P56,0.1692,0.1807,0.2222,0.1981,0.2645,0.2069,0.0379,0.1830,51,51,52,51,51,51.2000,51
P57,0.0400,0.0472,0.0435,0.0516,0.0689,0.0502,0.0113,0.2246,60,60,60,60,60,60.0000,60
P58,0.4899,0.4668,0.4928,0.3970,0.4531,0.4599,0.0388,0.0844,11,12,27,26,32,21.6000,22
P59,0.3656,0.3863,0.4929,0.3848,0.5005,0.4260,0.0651,0.1528,27,26,26,27,25,26.2000,26
P60,0.4508,0.4630,0.5811,0.4506,0.5542,0.5000,0.0627,0.1255,14,16,19,18,19,17.2000,18
P61,0.2527,0.2655,0.3054,0.2597,0.3467,0.2860,0.0396,0.1385,42,43,47,45,45,44.4000,46
P62,0.3328,0.3600,0.4845,0.3772,0.4974,0.4104,0.0754,0.1837,32,30,28,28,26,28.8000,28
P63,0.4079,0.4309,0.5852,0.4490,0.5588,0.4864,0.0801,0.1646,19,18,18,19,17,18.2000,19
