Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P33,0.2831,0.2854,0.2337,0.2859,0.2384,0.2653,0.0268,0.1009,56,52,56,57,57,55.6000,56
P34,0.4972,0.5030,0.4562,0.5104,0.4257,0.4785,0.0363,0.0758,39,32,38,38,40,37.4000,36
P35,0.4057,0.3191,0.3582,0.3953,0.3355,0.3628,0.0373,0.1029,50,51,50,50,50,50.2000,50
P36,0.2690,0.1911,0.2246,0.3054,0.2547,0.2489,0.0435,0.1746,58,58,57,56,56,57.0000,58
P37,0.3225,0.0000,0.3196,0.3263,0.2954,0.2528,0.1418,0.5611,54,61,52,54,53,54.8000,55
P38,0.6292,0.5961,0.6061,0.6347,0.5648,0.6062,0.0281,0.0464,30,28,29,29,30,29.2000,29
P39,0.8921,0.8639,0.9242,0.9273,0.9152,0.9045,0.0266,0.0294,7,8,7,6,6,6.8000,7
P40,0.4081,0.2838,0.3882,0.3972,0.3561,0.3667,0.0502,0.1370,49,54,45,49,49,49.2000,49
P41,0.5367,0.5690,0.4935,0.5312,0.4552,0.5171,0.0438,0.0847,33,29,35,35,36,33.6000,33
P42,0.4886,0.4490,0.4651,0.5117,0.4473,0.4723,0.0275,0.0583,40,38,37,37,37,37.8000,37
P43,0.4337,0.4714,0.3821,0.4379,0.3652,0.4180,0.0435,0.1040,45,35,46,45,45,43.2000,45
P44,0.4416,0.3656,0.4055,0.4626,0.4040,0.4159,0.0375,0.0902,44,44,43,42,42,43.0000,43
P45,0.3711,0.3538,0.3169,0.3742,0.3121,0.3456,0.0295,0.0853,52,45,53,51,52,50.6000,51
P46,0.8104,0.7722,0.8110,0.8028,0.7625,0.7918,0.0228,0.0288,14,14,13,14,15,14.0000,14
P47,0.5167,0.3863,0.4934,0.5368,0.4925,0.4851,0.0582,0.1200,35,42,36,34,33,36.0000,35
P48,0.4216,0.4444,0.3651,0.4314,0.3598,0.4045,0.0393,0.0970,46,39,49,47,48,45.8000,46
P49,0.4563,0.2845,0.4294,0.4796,0.4450,0.4190,0.0774,0.1847,42,53,40,39,38,42.4000,42
P50,0.5593,0.4942,0.5563,0.5734,0.5190,0.5404,0.0327,0.0606,31,33,31,31,32,31.6000,31
P51,0.5168,0.4601,0.4440,0.4730,0.4412,0.4670,0.0306,0.0656,34,36,39,41,39,37.8000,37
P53,0.3073,0.3397,0.2471,0.3197,0.2666,0.2961,0.0383,0.1292,55,48,55,55,55,53.6000,54
P54,0.2443,0.1594,0.1952,0.2156,0.1798,0.1989,0.0327,0.1644,60,59,60,60,60,59.8000,60
P55,0.3364,0.3333,0.2814,0.3526,0.2940,0.3195,0.0303,0.0948,53,49,54,52,54,52.4000,53
P56,0.4973,0.3991,0.4238,0.4467,0.4204,0.4375,0.0375,0.0856,38,41,42,43,41,41.0000,41
P57,0.2724,0.3317,0.2104,0.2794,0.2330,0.2654,0.0467,0.1758,57,50,58,58,58,56.2000,57
P58,0.2631,0.2284,0.1998,0.2320,0.1935,0.2233,0.0280,0.1252,59,56,59,59,59,58.4000,59
P59,0.0000,0.0196,0.0000,0.0000,0.0000,0.0039,0.0087,2.2361,61,60,61,61,61,60.8000,61
P60,0.4135,0.2308,0.3519,0.3400,0.3161,0.3305,0.0663,0.2007,48,55,51,53,51,51.6000,52
P61,0.6428,0.5489,0.5649,0.6184,0.6016,0.5953,0.0384,0.0645,28,30,30,30,29,29.4000,30
P62,0.4461,0.4058,0.3945,0.4439,0.3965,0.4173,0.0256,0.0614,43,40,44,44,44,43.0000,43
P63,0.4816,0.4733,0.4279,0.4752,0.4038,0.4524,0.0345,0.0763,41,34,41,40,43,39.8000,40
