Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P28,0.7110,0.7600,0.7104,0.7108,0.6634,0.7111,0.0342,0.0481,18,18,17,17,18,17.6000,18
P29,0.0719,0.2328,0.0000,0.0100,0.0088,0.0647,0.0982,1.5186,60,59,61,60,60,60.0000,60
P30,0.7078,0.7767,0.6764,0.6850,0.6417,0.6975,0.0502,0.0720,19,16,20,21,22,19.6000,19
P31,0.6818,0.7518,0.6108,0.6422,0.5996,0.6572,0.0618,0.0940,21,21,24,25,26,23.4000,23
P32,0.7655,0.8156,0.7687,0.7571,0.7172,0.7648,0.0351,0.0459,14,13,12,14,14,13.4000,13
P33,0.4486,0.4014,0.3746,0.3247,0.3285,0.3755,0.0520,0.1383,46,52,46,52,52,49.6000,50
P34,0.4971,0.5951,0.4185,0.4865,0.4264,0.4847,0.0709,0.1463,35,33,39,39,41,37.4000,36
P35,0.4588,0.5629,0.3394,0.4056,0.3666,0.4267,0.0884,0.2072,44,37,50,48,49,45.6000,46
P36,0.4634,0.4537,0.3702,0.3534,0.3519,0.3985,0.0554,0.1390,43,49,47,51,50,48.0000,49
P37,0.2567,0.3082,0.2624,0.3115,0.2871,0.2852,0.0253,0.0887,55,56,53,53,53,54.0000,54
P38,0.9594,0.9695,0.9580,0.9381,0.9279,0.9506,0.0170,0.0179,3,4,5,4,4,4.0000,4
P39,0.8942,0.9026,0.9278,0.9061,0.8907,0.9043,0.0145,0.0161,6,6,6,6,6,6.0000,6
P40,0.4978,0.5503,0.4898,0.5396,0.4909,0.5137,0.0290,0.0564,34,39,33,33,33,34.4000,34
P41,0.2996,0.4345,0.1859,0.2809,0.2462,0.2894,0.0919,0.3177,52,50,54,54,54,52.8000,53
P42,0.7273,0.7577,0.7571,0.7514,0.7106,0.7408,0.0210,0.0283,16,19,14,15,15,15.8000,15
P43,0.4450,0.5426,0.3579,0.4396,0.3853,0.4341,0.0709,0.1633,47,41,48,46,46,45.6000,46
P44,0.2225,0.3451,0.1375,0.2417,0.2118,0.2317,0.0747,0.3223,56,54,57,57,57,56.2000,56
P45,0.4533,0.5321,0.3924,0.4679,0.4124,0.4516,0.0543,0.1202,45,43,44,44,44,44.0000,45
P46,0.9521,0.9695,0.9654,0.9315,0.9202,0.9478,0.0214,0.0225,4,3,4,5,5,4.2000,5
P47,0.6420,0.6805,0.6767,0.6883,0.6457,0.6666,0.0213,0.0319,24,25,19,20,21,21.8000,20
P48,0.4764,0.5721,0.4108,0.4763,0.4216,0.4715,0.0639,0.1356,38,35,43,42,43,40.2000,40
P49,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1,1,1,1,1,1.0000,1
P50,0.2641,0.3781,0.1801,0.2779,0.2436,0.2688,0.0717,0.2667,54,53,55,55,55,54.4000,55
P51,0.4284,0.4968,0.4159,0.4730,0.4373,0.4503,0.0336,0.0746,49,47,40,43,39,43.6000,44
P53,0.4731,0.5371,0.4460,0.5056,0.4504,0.4824,0.0386,0.0801,39,42,37,37,38,38.6000,37
P54,0.1486,0.2456,0.1200,0.1567,0.1393,0.1620,0.0487,0.3004,58,58,58,58,58,58.0000,58
P55,0.5268,0.5870,0.5257,0.5660,0.5184,0.5448,0.0301,0.0552,32,34,31,31,31,31.8000,32
P56,0.9503,0.9639,0.9677,0.9578,0.9509,0.9581,0.0077,0.0081,5,5,3,3,3,3.8000,3
P57,0.5179,0.6170,0.4884,0.5188,0.4772,0.5239,0.0552,0.1053,33,30,34,35,35,33.4000,33
P58,0.4664,0.5306,0.4609,0.5132,0.4749,0.4892,0.0309,0.0631,42,44,36,36,36,38.8000,38
P59,0.4696,0.5458,0.4113,0.4833,0.4280,0.4676,0.0527,0.1127,40,40,42,41,40,40.6000,41
P60,0.8403,0.8564,0.9057,0.8950,0.8778,0.8750,0.0269,0.0308,8,9,7,7,7,7.6000,7
P61,0.5725,0.6329,0.5875,0.6434,0.6110,0.6095,0.0298,0.0489,30,28,28,24,24,26.8000,29
P62,0.7225,0.7683,0.7115,0.7137,0.6667,0.7165,0.0362,0.0505,17,17,16,16,17,16.6000,16
P63,0.8360,0.8723,0.8534,0.8271,0.7987,0.8375,0.0278,0.0332,9,8,8,9,9,8.6000,9
